timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;316.69;f_lane_390.0;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
1.00;316.69;f_lane_390.0;-0_0;7.41;0.00;2.31;type_krauss;560.55;388.81
2.00;315.51;f_lane_390.0;-0_0;12.25;0.00;4.84;type_krauss;557.15;392.26
3.00;313.96;f_lane_390.0;-0_0;18.56;0.00;6.31;type_krauss;552.61;396.64
3.00;316.69;f_lane_390.1;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
4.00;309.37;f_lane_390.0;-0_0;26.39;0.00;7.83;type_krauss;546.65;401.71
4.00;316.69;f_lane_390.1;-0_0;7.43;0.00;2.33;type_krauss;560.53;388.83
5.00;301.80;f_lane_390.0;-0_0;36.34;0.00;9.95;type_krauss;538.50;407.38
5.00;316.10;f_lane_390.1;-0_0;11.17;0.00;3.74;type_krauss;557.93;391.51
6.00;295.28;f_lane_390.0;-0_0;47.62;0.00;11.28;type_krauss;528.53;412.62
6.00;313.96;f_lane_390.1;-0_0;16.87;0.00;5.70;type_krauss;553.83;395.47
6.00;316.69;f_lane_390.2;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
7.00;289.39;f_lane_390.0;-0_0;61.38;0.00;13.76;type_krauss;515.69;417.55
7.00;310.15;f_lane_390.1;-0_0;24.38;0.00;7.51;type_krauss;548.20;400.43
7.00;316.69;f_lane_390.2;-0_0;7.18;0.00;2.08;type_krauss;560.70;388.65
8.00;278.03;f_lane_390.0;-0_0;76.75;0.00;15.37;type_krauss;500.64;420.58
8.00;303.88;f_lane_390.1;-0_0;34.02;0.00;9.65;type_krauss;540.47;406.16
8.00;316.08;f_lane_390.2;-0_0;11.19;0.00;4.01;type_krauss;557.91;391.53
9.00;268.94;f_lane_390.0;-0_0;94.09;0.00;17.34;type_krauss;483.36;421.38
9.00;295.28;f_lane_390.1;-0_0;45.88;0.00;11.86;type_krauss;530.10;411.88
