timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;316.69;f_lane_390.0;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
1.00;316.69;f_lane_390.0;-0_0;6.54;0.00;1.44;type_krauss;561.14;388.18
2.00;316.69;f_lane_390.0;-0_0;9.35;0.00;2.81;type_krauss;559.22;390.22
3.00;314.38;f_lane_390.0;-0_0;14.32;0.00;4.98;type_krauss;555.66;393.70
3.00;316.69;f_lane_390.1;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
4.00;312.68;f_lane_390.0;-0_0;21.63;0.00;7.30;type_krauss;550.33;398.69
4.00;316.69;f_lane_390.1;-0_0;6.40;0.00;1.30;type_krauss;561.24;388.07
5.00;307.79;f_lane_390.0;-0_0;31.45;0.00;9.82;type_krauss;542.66;404.80
5.00;316.61;f_lane_390.1;-0_0;10.24;0.00;3.84;type_krauss;558.60;390.86
6.00;298.15;f_lane_390.0;-0_0;43.39;0.00;11.94;type_krauss;532.36;410.82
6.00;313.96;f_lane_390.1;-0_0;16.54;0.00;6.30;type_krauss;554.07;395.24
6.00;316.69;f_lane_390.2;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
7.00;290.00;f_lane_390.0;-0_0;56.64;0.00;13.26;type_krauss;520.16;415.98
7.00;309.89;f_lane_390.1;-0_0;24.67;0.00;8.13;type_krauss;547.98;400.61
7.00;316.69;f_lane_390.2;-0_0;7.57;0.00;2.47;type_krauss;560.44;388.93
8.00;282.59;f_lane_390.0;-0_0;71.81;0.00;15.17;type_krauss;505.53;419.89
8.00;303.00;f_lane_390.1;-0_0;34.60;0.00;9.94;type_krauss;539.98;406.47
8.00;315.59;f_lane_390.2;-0_0;12.10;0.00;4.53;type_krauss;557.26;392.15
9.00;271.92;f_lane_390.0;-0_0;88.89;0.00;17.08;type_krauss;488.55;421.47
9.00;295.28;f_lane_390.1;-0_0;46.70;0.00;12.10;type_krauss;529.36;412.23
9.00;313.96;f_lane_390.2;-0_0;18.60;0.00;6.50;type_krauss;552.59;396.67
9.00;316.69;f_lane_390.3;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
10.00;262.33;f_lane_390.0;-0_0;107.77;0.00;18.87;type_krauss;469.75;420.08
10.00;290.00;f_lane_390.1;-0_0;60.33;0.00;13.63;type_krauss;516.70;417.24
10.00;309.37;f_lane_390.2;-0_0;27.12;0.00;8.53;type_krauss;546.08;402.17
10.00;316.69;f_lane_390.3;-0_0;6.72;0.00;1.62;type_krauss;561.02;388.31
11.00;255.49;f_lane_390.0;-0_0;128.28;0.00;20.51;type_krauss;449.69;415.91
11.00;278.07;f_lane_390.1;-0_0;76.05;0.00;15.72;type_krauss;501.34;420.48
11.00;301.80;f_lane_390.2;-0_0;37.58;0.00;10.46;type_krauss;537.45;408.04
11.00;316.39;f_lane_390.3;-0_0;10.63;0.00;3.91;type_krauss;558.32;391.13
12.00;254.03;f_lane_390.0;-0_0;150.64;0.00;22.36;type_krauss;428.16;409.86
12.00;268.85;f_lane_390.1;-0_0;94.17;0.00;18.12;type_krauss;483.28;421.38
12.00;295.28;f_lane_390.2;-0_0;49.80;0.00;12.22;type_krauss;526.56;413.55
12.00;313.96;f_lane_390.3;-0_0;16.19;0.00;5.57;type_krauss;554.32;395.00
12.00;316.69;f_lane_390.4;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
13.00;254.04;f_lane_390.0;-0_0;174.32;0.00;23.67;type_krauss;405.40;403.34
13.00;260.76;f_lane_390.1;-0_0;113.70;0.00;19.53;type_krauss;463.90;419.15
13.00;286.52;f_lane_390.2;-0_0;63.55;0.00;13.75;type_krauss;513.59;418.05
13.00;310.74;f_lane_390.3;-0_0;23.74;0.00;7.55;type_krauss;548.70;400.03
13.00;316.69;f_lane_390.4;-0_0;7.16;0.00;2.06;type_krauss;560.72;388.63
14.00;253.99;f_lane_390.0;-0_0;199.71;0.00;25.39;type_krauss;380.99;396.35
14.00;254.68;f_lane_390.1;-0_0;134.69;0.00;20.99;type_krauss;443.50;414.24
14.00;278.03;f_lane_390.2;-0_0;78.86;0.00;15.31;type_krauss;498.56;420.88
14.00;305.70;f_lane_390.3;-0_0;32.82;0.00;9.08;type_krauss;541.49;405.53
14.00;316.06;f_lane_390.4;-0_0;11.23;0.00;4.07;type_krauss;557.89;391.55
15.00;254.03;f_lane_390.0;-0_0;227.63;0.00;27.92;type_krauss;354.15;388.66
15.00;253.98;f_lane_390.1;-0_0;157.41;0.00;22.71;type_krauss;421.66;407.99
15.00;267.01;f_lane_390.2;-0_0;95.83;0.00;16.97;type_krauss;481.62;421.27
15.00;296.95;f_lane_390.3;-0_0;44.31;0.00;11.49;type_krauss;531.53;411.21
15.00;313.96;f_lane_390.4;-0_0;16.85;0.00;5.62;type_krauss;553.84;395.46
15.00;316.69;f_lane_390.5;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
16.00;254.03;f_lane_390.0;-0_0;256.75;0.00;29.12;type_krauss;326.15;380.65
16.00;254.03;f_lane_390.1;-0_0;181.76;0.00;24.36;type_krauss;398.24;401.29
16.00;260.08;f_lane_390.2;-0_0;114.60;0.00;18.77;type_krauss;463.01;418.97
16.00;290.00;f_lane_390.3;-0_0;57.47;0.00;13.17;type_krauss;519.38;416.26
16.00;310.04;f_lane_390.4;-0_0;24.50;0.00;7.65;type_krauss;548.11;400.51
16.00;316.69;f_lane_390.5;-0_0;7.00;0.00;1.90;type_krauss;560.83;388.51
17.00;254.02;f_lane_390.0;-0_0;285.59;0.00;28.84;type_krauss;298.43;372.71
17.00;254.03;f_lane_390.1;-0_0;208.56;0.00;26.80;type_krauss;372.48;393.91
17.00;254.35;f_lane_390.2;-0_0;135.87;0.00;21.26;type_krauss;442.37;413.92
17.00;282.40;f_lane_390.3;-0_0;71.99;0.00;14.52;type_krauss;505.36;419.92
17.00;303.22;f_lane_390.4;-0_0;34.46;0.00;9.96;type_krauss;540.09;406.39
17.00;316.21;f_lane_390.5;-0_0;10.97;0.00;3.97;type_krauss;558.08;391.37
18.00;254.03;f_lane_390.0;-0_0;314.89;0.00;29.30;type_krauss;270.26;364.65
18.00;253.98;f_lane_390.1;-0_0;237.67;0.00;29.11;type_krauss;344.49;385.90
18.00;253.98;f_lane_390.2;-0_0;158.65;0.00;22.79;type_krauss;420.46;407.65
18.00;271.92;f_lane_390.3;-0_0;88.18;0.00;16.19;type_krauss;489.26;421.44
18.00;295.28;f_lane_390.4;-0_0;46.42;0.00;11.96;type_krauss;529.61;412.11
18.00;313.96;f_lane_390.5;-0_0;16.25;0.00;5.28;type_krauss;554.27;395.04
18.00;316.69;f_lane_390.6;-0_0;5.10;0.00;0.00;type_krauss;562.13;387.13
19.00;254.03;f_lane_390.0;-0_0;343.76;0.00;28.88;type_krauss;242.50;356.70
19.00;254.03;f_lane_390.1;-0_0;269.05;0.00;31.38;type_krauss;314.32;377.26
19.00;254.03;f_lane_390.2;-0_0;183.02;0.00;24.37;type_krauss;397.03;400.94
19.00;262.68;f_lane_390.3;-0_0;106.10;0.00;17.92;type_krauss;471.41;420.30
19.00;290.00;f_lane_390.4;-0_0;60.02;0.00;13.60;type_krauss;516.99;417.13
19.00;311.10;f_lane_390.5;-0_0;23.35;0.00;7.10;type_krauss;549.00;399.78
19.00;316.69;f_lane_390.6;-0_0;6.76;0.00;1.66;type_krauss;560.99;388.34
20.00;253.98;f_lane_390.0;-0_0;372.41;0.00;28.65;type_krauss;214.96;348.81
20.00;254.05;f_lane_390.1;-0_0;301.49;0.00;32.44;type_krauss;283.14;368.33
20.00;254.03;f_lane_390.2;-0_0;208.77;0.00;25.75;type_krauss;372.28;393.85
20.00;256.27;f_lane_390.3;-0_0;125.46;0.00;19.37;type_krauss;452.41;416.62
20.00;278.38;f_lane_390.4;-0_0;75.76;0.00;15.74;type_krauss;501.62;420.44
20.00;306.97;f_lane_390.5;-0_0;31.98;0.00;8.63;type_krauss;542.20;405.09
20.00;316.35;f_lane_390.6;-0_0;10.70;0.00;3.93;type_krauss;558.27;391.18
21.00;254.03;f_lane_390.0;-0_0;401.60;0.00;29.19;type_krauss;186.89;340.78
21.00;254.01;f_lane_390.1;-0_0;334.32;0.00;32.83;type_krauss;251.57;359.29
21.00;253.98;f_lane_390.2;-0_0;236.14;0.00;27.38;type_krauss;345.96;386.32
21.00;254.03;f_lane_390.3;-0_0;146.46;0.00;21.00;type_krauss;432.18;411.01
21.00;269.49;f_lane_390.4;-0_0;93.60;0.00;17.84;type_krauss;483.85;421.41
